"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"L1CAM interactions"	"L1CAM interactions"	"13/346"	"97/7644"	0.000396309238146534	0.0287864619344619	0.0277226845057528	"LAMC1/LAMB1/EGFR/CNTNAP1/ANK2/ITGA2/DNM1/NRP2/NCAM1/ITGB3/CD24/ANK1/CSNK2B"	13
"M1"	"Non-integrin membrane-ECM interactions"	"Non-integrin membrane-ECM interactions"	"8/346"	"42/7644"	0.000496425774502868	0.0330536828189826	0.0318322141369821	"LAMC1/LAMB1/TGFB1/LAMA2/NTN4/ITGA2/DDR1/ITGB3"	8
"M1"	"Collagen biosynthesis and modifying enzymes"	"Collagen biosynthesis and modifying enzymes"	"10/346"	"64/7644"	0.000540469857339724	0.0332181089241876	0.0319905640255335	"COL6A1/COL6A2/COL3A1/COL6A3/PCOLCE/COL8A1/PCOLCE2/COL14A1/COL15A1/COL11A1"	10
"M1"	"Degradation of the extracellular matrix"	"Degradation of the extracellular matrix"	"12/346"	"89/7644"	0.00062322989267865	0.0334489507373262	0.0322128752901462	"DCN/LAMC1/LAMB1/ADAMTS5/CTSK/ACAN/MMP3/A2M/COL14A1/COL15A1/ADAMTS4/MMP15"	12
"M1"	"Assembly of collagen fibrils and other multimeric structures"	"Assembly of collagen fibrils and other multimeric structures"	"9/346"	"54/7644"	0.000627952767283972	0.0334489507373262	0.0322128752901462	"COL6A1/COL6A2/COL3A1/COL6A3/PCOLCE/COL8A1/MMP3/COL15A1/COL11A1"	9
"M1"	"Nitric oxide stimulates guanylate cyclase"	"Nitric oxide stimulates guanylate cyclase"	"6/346"	"25/7644"	0.00070126471667199	0.0350194067888075	0.033725296571528	"PDE5A/PRKG1/PRKG2/ITPR1/GUCY1A2/PDE1A"	6
"M1"	"Activation of SMO"	"Activation of SMO"	"5/346"	"18/7644"	0.000970361516708144	0.0430732695472115	0.041481536182085	"GAS1/BOC/CDON/PTCH1/ARRB1"	5
"M1"	"cGMP effects"	"cGMP effects"	"5/346"	"18/7644"	0.000970361516708144	0.0430732695472115	0.041481536182085	"PDE5A/PRKG1/PRKG2/ITPR1/PDE1A"	5
"M1"	"Nef mediated downregulation of MHC class I complex cell surface expression"	"Nef mediated downregulation of MHC class I complex cell surface expression"	"4/346"	"11/7644"	0.00105669202010437	0.0444366802138625	0.0427945632518721	"B2M/HLA-A/AP1S2/AP1S3"	4
"M1"	"Platelet calcium homeostasis"	"Platelet calcium homeostasis"	"5/346"	"19/7644"	0.00126859817089297	0.050680496927174	0.0488076454169872	"ATP2B1/SLC8A1/ITPR2/ITPR1/ATP2A3"	5
"M1"	"Collagen formation"	"Collagen formation"	"11/346"	"86/7644"	0.00161780123526644	0.0615534850941852	0.0592788322295624	"COL6A1/COL6A2/COL3A1/COL6A3/PCOLCE/COL8A1/MMP3/PCOLCE2/COL14A1/COL15A1/COL11A1"	11
"M1"	"RA biosynthesis pathway"	"RA biosynthesis pathway"	"5/346"	"21/7644"	0.00206038466790911	0.0748294249845171	0.0720641718775865	"RDH10/DHRS3/ALDH1A3/AKR1C3/ALDH1A1"	5
"M1"	"Synthesis of bile acids and bile salts via 24-hydroxycholesterol"	"Synthesis of bile acids and bile salts via 24-hydroxycholesterol"	"4/346"	"14/7644"	0.00287693157548564	0.0999421012527402	0.0962488321135012	"AKR1C2/AKR1C1/AKR1C3/CYP27A1"	4
"M1"	"Signaling by BMP"	"Signaling by BMP"	"5/346"	"23/7644"	0.00316256688515536	0.105287122551631	0.101396333028446	"GREM2/SMAD6/ACVR2A/SMAD7/CHRDL1"	5
"M1"	"Synthesis of bile acids and bile salts via 27-hydroxycholesterol"	"Synthesis of bile acids and bile salts via 27-hydroxycholesterol"	"4/346"	"15/7644"	0.00378470240655297	0.120959088913433	0.11648915617643	"AKR1C2/AKR1C1/AKR1C3/CYP27A1"	4
"M1"	"Signaling by PDGF"	"Signaling by PDGF"	"17/346"	"184/7644"	0.00396328398371957	0.12179476549969	0.117293951097126	"COL6A1/COL6A2/COL6A3/PDGFRA/PDGFRB/THBS2/EGFR/FGF5/AGO2/PDGFD/NR4A1/ITPR2/HRAS/AGO4/ITPR1/FGFR3/PDE1A"	17
"M1"	"Platelet activation, signaling and aggregation"	"Platelet activation, signaling and aggregation"	"19/346"	"221/7644"	0.00527503157956211	0.156101860447042	0.150333258661205	"FN1/SERPINE1/SERPING1/TGFB1/CLU/GNB4/APBB1IP/A2M/PROS1/ITPR2/F2R/TUBA4A/IGF2/ARRB1/CFD/ITPR1/ITGB3/HGF/ADRA2C"	19
"M1"	"Formation of Fibrin Clot (Clotting Cascade)"	"Formation of Fibrin Clot (Clotting Cascade)"	"6/346"	"39/7644"	0.00757907870425197	0.216274424453476	0.208282200481511	"SERPINE2/SERPING1/TFPI/A2M/PROS1/F2R"	6
"M1"	"Reduction of cytosolic Ca++ levels"	"Reduction of cytosolic Ca++ levels"	"3/346"	"10/7644"	0.00869852847691087	0.239659457001786	0.230803060494441	"ATP2B1/SLC8A1/ATP2A3"	3
"M1"	"Scavenging by Class A Receptors"	"Scavenging by Class A Receptors"	"4/346"	"19/7644"	0.00931436035267909	0.241809897256571	0.232874033192218	"COL3A1/COLEC12/MASP1/SCARA5"	4
"M1"	"Integrin cell surface interactions"	"Integrin cell surface interactions"	"8/346"	"66/7644"	0.0094214934019798	0.241809897256571	0.232874033192218	"FN1/COMP/LUM/ITGA4/ITGA3/ITGA2/ITGA7/ITGB3"	8
"M1"	"Signaling by Retinoic Acid"	"Signaling by Retinoic Acid"	"6/346"	"41/7644"	0.00968450151715927	0.241809897256571	0.232874033192218	"RDH10/DHRS3/ALDH1A3/CRABP2/AKR1C3/ALDH1A1"	6
"M1"	"Adherens junctions interactions"	"Adherens junctions interactions"	"5/346"	"30/7644"	0.0103356511147608	0.250248037596783	0.241000349757261	"PVR/CDH24/CDH10/CDH4/CADM1"	5
"M1"	"Endosomal/Vacuolar pathway"	"Endosomal/Vacuolar pathway"	"3/346"	"11/7644"	0.0115642171482133	0.271759102983012	0.261716493354301	"B2M/HLA-A/HLA-E"	3
"M1"	"Signal transduction by L1"	"Signal transduction by L1"	"4/346"	"21/7644"	0.0133944530024589	0.305776227113277	0.294476545708195	"EGFR/NCAM1/ITGB3/CSNK2B"	4
"M1"	"Death Receptor Signalling"	"Death Receptor Signalling"	"3/346"	"12/7644"	0.0149093351963339	0.323700225043084	0.311738178652914	"CASP10/TNFRSF10A/TNFSF10"	3
"M1"	"Glutathione conjugation"	"Glutathione conjugation"	"5/346"	"33/7644"	0.0154145953268997	0.323700225043084	0.311738178652914	"MGST1/GGT5/GSTT2B/GSTM5/GSTO2"	5
"M1"	"Extrinsic Pathway"	"Extrinsic Pathway"	"4/346"	"22/7644"	0.0158001361410266	0.323700225043084	0.311738178652914	"UNC5B/CASP10/TNFRSF10A/TNFSF10"	4
"M1"	"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters"	"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters"	"4/346"	"22/7644"	0.0158001361410266	0.323700225043084	0.311738178652914	"B2M/HLA-A/AP1S2/AP1S3"	4
"M1"	"DAP12 signaling"	"DAP12 signaling"	"14/346"	"164/7644"	0.016413475120654	0.327859165535063	0.315743429294686	"PDGFRA/B2M/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/HLA-E/ITPR1/FGFR3/PDE1A"	14
"M1"	"Ca2+ pathway"	"Ca2+ pathway"	"7/346"	"61/7644"	0.0195507828104202	0.381001840622578	0.366922265325215	"GNB4/AGO2/ITPR2/PRKG1/AGO4/PRKG2/ITPR1"	7
"M1"	"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	"4/346"	"24/7644"	0.0213829954675277	0.397325892524526	0.382643076787337	"B2M/HLA-A/HLA-E/ERAP2"	4
"M1"	"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol"	"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol"	"4/346"	"24/7644"	0.0213829954675277	0.397325892524526	0.382643076787337	"AKR1C2/AKR1C1/AKR1C3/CYP27A1"	4
"M1"	"ABC-family proteins mediated transport"	"ABC-family proteins mediated transport"	"5/346"	"36/7644"	0.0219358413171763	0.398334936645996	0.383614832604207	"ABCA8/ABCC9/ABCA6/ABCA9/ABCA10"	5
"M1"	"Interferon gamma signaling"	"Interferon gamma signaling"	"9/346"	"92/7644"	0.0228931533813633	0.406480656704651	0.391459535012318	"B2M/HLA-A/GBP1/IRF1/GBP2/HLA-E/NCAM1/IRF6/CIITA"	9
"M1"	"NCAM1 interactions"	"NCAM1 interactions"	"5/346"	"37/7644"	0.024453082067412	0.424739403736135	0.409043546711171	"COL6A1/COL6A2/COL6A3/CACNA1C/NCAM1"	5
"M1"	"Collagen degradation"	"Collagen degradation"	"5/346"	"38/7644"	0.0271489245640553	0.439215955640654	0.422985130852142	"CTSK/MMP3/COL14A1/COL15A1/MMP15"	5
"M1"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	"GRB2:SOS provides linkage to MAPK signaling for Integrins"	"3/346"	"15/7644"	0.0278915757519892	0.439215955640654	0.422985130852142	"FN1/APBB1IP/ITGB3"	3
"M1"	"HDL-mediated lipid transport"	"HDL-mediated lipid transport"	"3/346"	"15/7644"	0.0278915757519892	0.439215955640654	0.422985130852142	"ABCA1/A2M/CUBN"	3
"M1"	"p130Cas linkage to MAPK signaling for integrins"	"p130Cas linkage to MAPK signaling for integrins"	"3/346"	"15/7644"	0.0278915757519892	0.439215955640654	0.422985130852142	"FN1/APBB1IP/ITGB3"	3
"M1"	"Downregulation of TGF-beta receptor signaling"	"Downregulation of TGF-beta receptor signaling"	"4/346"	"26/7644"	0.0280350609983396	0.439215955640654	0.422985130852142	"TGFB1/SMAD7/BAMBI/NEDD4L"	4
"M1"	"Synthesis of bile acids and bile salts"	"Synthesis of bile acids and bile salts"	"4/346"	"27/7644"	0.0317731146220473	0.466027234177795	0.448805623060362	"AKR1C2/AKR1C1/AKR1C3/CYP27A1"	4
"M1"	"Signaling by FGFR"	"Signaling by FGFR"	"13/346"	"162/7644"	0.0318049204646382	0.466027234177795	0.448805623060362	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/ITPR1/IL17RD/FGFR3/PDE1A"	13
"M1"	"Interferon Signaling"	"Interferon Signaling"	"15/346"	"196/7644"	0.0320706667134315	0.466027234177795	0.448805623060362	"B2M/HLA-A/IFITM1/SAMHD1/IFIT3/XAF1/GBP1/IRF1/GBP2/HLA-E/NCAM1/IRF6/MX2/ISG20/CIITA"	15
"M1"	"DAP12 interactions"	"DAP12 interactions"	"14/346"	"179/7644"	0.032079471689335	0.466027234177795	0.448805623060362	"PDGFRA/B2M/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/HLA-E/ITPR1/FGFR3/PDE1A"	14
"M1"	"CRMPs in Sema3A signaling"	"CRMPs in Sema3A signaling"	"3/346"	"16/7644"	0.0332045821706604	0.473758234899244	0.456250931705879	"SEMA3A/PLXNA2/DPYSL4"	3
"M1"	"Downstream signaling of activated FGFR"	"Downstream signaling of activated FGFR"	"12/346"	"149/7644"	0.0373310048658648	0.508393240585835	0.489606032367098	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/ITPR1/FGFR3/PDE1A"	12
"M1"	"ABCA transporters in lipid homeostasis"	"ABCA transporters in lipid homeostasis"	"3/346"	"17/7644"	0.039003556140249	0.508393240585835	0.489606032367098	"ABCA6/ABCA9/ABCA10"	3
"M1"	"Synthesis, secretion, and deacylation of Ghrelin"	"Synthesis, secretion, and deacylation of Ghrelin"	"3/346"	"17/7644"	0.039003556140249	0.508393240585835	0.489606032367098	"PCSK1/LEP/BCHE"	3
"M1"	"Netrin-1 signaling"	"Netrin-1 signaling"	"5/346"	"42/7644"	0.0397812407334169	0.508393240585835	0.489606032367098	"SLIT3/SLIT2/MYO10/UNC5B/NTN4"	5
"M1"	"CDO in myogenesis"	"CDO in myogenesis"	"4/346"	"29/7644"	0.0400860752902473	0.508393240585835	0.489606032367098	"BOC/MAPK12/CDON/CDH4"	4
"M1"	"Myogenesis"	"Myogenesis"	"4/346"	"29/7644"	0.0400860752902473	0.508393240585835	0.489606032367098	"BOC/MAPK12/CDON/CDH4"	4
"M1"	"The role of Nef in HIV-1 replication and disease pathogenesis"	"The role of Nef in HIV-1 replication and disease pathogenesis"	"4/346"	"29/7644"	0.0400860752902473	0.508393240585835	0.489606032367098	"B2M/HLA-A/AP1S2/AP1S3"	4
"M1"	"Lipoprotein metabolism"	"Lipoprotein metabolism"	"4/346"	"30/7644"	0.0446630636249376	0.556597711094685	0.536029150662295	"ABCA1/A2M/CUBN/LIPC"	4
"M1"	"Post-chaperonin tubulin folding pathway"	"Post-chaperonin tubulin folding pathway"	"3/346"	"18/7644"	0.0452801642317329	0.556597711094685	0.536029150662295	"TUBB3/TUBB2A/TUBA4A"	3
"M1"	"NGF signalling via TRKA from the plasma membrane"	"NGF signalling via TRKA from the plasma membrane"	"15/346"	"206/7644"	0.0464791339477235	0.56267921248835	0.541885915722263	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/DNM1/NR4A1/MAPK12/ITPR2/HRAS/AGO4/ITPR1/NTRK2/FGFR3/PDE1A"	15
"M1"	"Rho GTPase cycle"	"Rho GTPase cycle"	"10/346"	"122/7644"	0.0493164378148727	0.579468144324754	0.558054427905138	"ARHGAP23/CHN1/A2M/ARHGEF6/ARHGAP20/RHOD/FAM13A/ARHGEF3/ARHGAP28/NGEF"	10
"M1"	"Signaling by Rho GTPases"	"Signaling by Rho GTPases"	"10/346"	"122/7644"	0.0493164378148727	0.579468144324754	0.558054427905138	"ARHGAP23/CHN1/A2M/ARHGEF6/ARHGAP20/RHOD/FAM13A/ARHGEF3/ARHGAP28/NGEF"	10
"M1"	"Other semaphorin interactions"	"Other semaphorin interactions"	"3/346"	"19/7644"	0.0520237524590554	0.602419974127323	0.580158093784432	"SEMA7A/PLXNA2/SEMA6A"	3
"M1"	"Cell-cell junction organization"	"Cell-cell junction organization"	"6/346"	"60/7644"	0.0529979398465302	0.604933627676823	0.582578857561107	"CLDN11/PVR/CDH24/CDH10/CDH4/CADM1"	6
"M1"	"TGF-beta receptor signaling activates SMADs"	"TGF-beta receptor signaling activates SMADs"	"4/346"	"32/7644"	0.0546561214907684	0.61403180644653	0.591340821437867	"TGFB1/SMAD7/BAMBI/NEDD4L"	4
"M1"	"Signaling by FGFR in disease"	"Signaling by FGFR in disease"	"13/346"	"177/7644"	0.057729433592094	0.61403180644653	0.591340821437867	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/ITPR1/IL17RD/FGFR3/PDE1A"	13
"M1"	"Formation of tubulin folding intermediates by CCT/TriC"	"Formation of tubulin folding intermediates by CCT/TriC"	"3/346"	"20/7644"	0.059221664744154	0.61403180644653	0.591340821437867	"TUBB3/TUBB2A/TUBA4A"	3
"M1"	"Syndecan interactions"	"Syndecan interactions"	"3/346"	"20/7644"	0.059221664744154	0.61403180644653	0.591340821437867	"TGFB1/ITGA2/ITGB3"	3
"M1"	"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"	"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)"	"3/346"	"20/7644"	0.059221664744154	0.61403180644653	0.591340821437867	"DPP4/PCSK1/LEP"	3
"M1"	"EGFR interacts with phospholipase C-gamma"	"EGFR interacts with phospholipase C-gamma"	"4/346"	"33/7644"	0.0600687457892331	0.61403180644653	0.591340821437867	"EGFR/ITPR2/ITPR1/PDE1A"	4
"M1"	"Downstream signal transduction"	"Downstream signal transduction"	"12/346"	"161/7644"	0.0608793431852068	0.61403180644653	0.591340821437867	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/ITPR1/FGFR3/PDE1A"	12
"M1"	"Signaling by EGFR"	"Signaling by EGFR"	"13/346"	"179/7644"	0.0620274891705318	0.61403180644653	0.591340821437867	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/LRIG1/ITPR1/FGFR3/PDE1A"	13
"M1"	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	"Signaling by Overexpressed Wild-Type EGFR in Cancer"	"13/346"	"179/7644"	0.0620274891705318	0.61403180644653	0.591340821437867	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/LRIG1/ITPR1/FGFR3/PDE1A"	13
"M1"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"	"9/346"	"111/7644"	0.0637288178912944	0.61403180644653	0.591340821437867	"B2M/PVR/HLA-A/ITGA4/C3/IFITM1/HLA-E/CD34/MICA"	9
"M1"	"Cytokine Signaling in Immune system"	"Cytokine Signaling in Immune system"	"20/346"	"308/7644"	0.0654332501464478	0.61403180644653	0.591340821437867	"B2M/IL1R1/HLA-A/IFITM1/SAMHD1/IFIT3/XAF1/GBP1/IRF1/HRAS/GBP2/HLA-E/NCAM1/PRLR/IRF6/CASP1/HGF/MX2/ISG20/CIITA"	20
"M1"	"Signaling by ERBB2"	"Signaling by ERBB2"	"12/346"	"163/7644"	0.0655892955954497	0.61403180644653	0.591340821437867	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/ITPR1/FGFR3/PDE1A"	12
"M1"	"PLCG1 events in ERBB2 signaling"	"PLCG1 events in ERBB2 signaling"	"4/346"	"34/7644"	0.0657550948403556	0.61403180644653	0.591340821437867	"EGFR/ITPR2/ITPR1/PDE1A"	4
"M1"	"Signaling by EGFR in Cancer"	"Signaling by EGFR in Cancer"	"13/346"	"181/7644"	0.0665346919431853	0.61403180644653	0.591340821437867	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/LRIG1/ITPR1/FGFR3/PDE1A"	13
"M1"	"Signaling by EGFRvIII in Cancer"	"Signaling by EGFRvIII in Cancer"	"13/346"	"181/7644"	0.0665346919431853	0.61403180644653	0.591340821437867	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/LRIG1/ITPR1/FGFR3/PDE1A"	13
"M1"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	"Signaling by Ligand-Responsive EGFR Variants in Cancer"	"13/346"	"181/7644"	0.0665346919431853	0.61403180644653	0.591340821437867	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/ITPR2/HRAS/AGO4/LRIG1/ITPR1/FGFR3/PDE1A"	13
"M1"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)"	"3/346"	"21/7644"	0.0668595333677698	0.61403180644653	0.591340821437867	"IGFBP3/PAPPA/IGF2"	3
"M1"	"Bile acid and bile salt metabolism"	"Bile acid and bile salt metabolism"	"4/346"	"35/7644"	0.0717114556844104	0.621102148321809	0.598149885281922	"AKR1C2/AKR1C1/AKR1C3/CYP27A1"	4
"M1"	"Creatine metabolism"	"Creatine metabolism"	"2/346"	"10/7644"	0.072293491606919	0.621102148321809	0.598149885281922	"CKB/SLC6A8"	2
"M1"	"Ethanol oxidation"	"Ethanol oxidation"	"2/346"	"10/7644"	0.072293491606919	0.621102148321809	0.598149885281922	"ADH1B/ALDH1A1"	2
"M1"	"Gap junction degradation"	"Gap junction degradation"	"2/346"	"10/7644"	0.072293491606919	0.621102148321809	0.598149885281922	"GJA1/DNM1"	2
"M1"	"TRIF-mediated programmed cell death"	"TRIF-mediated programmed cell death"	"2/346"	"10/7644"	0.072293491606919	0.621102148321809	0.598149885281922	"TLR4/TICAM2"	2
"M1"	"Zinc influx into cells by the SLC39 gene family"	"Zinc influx into cells by the SLC39 gene family"	"2/346"	"10/7644"	0.072293491606919	0.621102148321809	0.598149885281922	"SLC39A7/SLC39A8"	2
"M1"	"Common Pathway"	"Common Pathway"	"3/346"	"22/7644"	0.074921543456203	0.63012961285796	0.60684374810509	"SERPINE2/PROS1/F2R"	3
"M1"	"Intrinsic Pathway"	"Intrinsic Pathway"	"3/346"	"22/7644"	0.074921543456203	0.63012961285796	0.60684374810509	"SERPINE2/SERPING1/A2M"	3
"M1"	"Transport to the Golgi and subsequent modification"	"Transport to the Golgi and subsequent modification"	"4/346"	"36/7644"	0.0779334074803146	0.634678887582681	0.611224908534273	"FUT8/MAN1A1/MAN1C1/B4GALT6"	4
"M1"	"Cell surface interactions at the vascular wall"	"Cell surface interactions at the vascular wall"	"8/346"	"99/7644"	0.0789506158670451	0.634678887582681	0.611224908534273	"FN1/ITGA4/SLC16A3/ITGA3/ANGPT1/PROS1/HRAS/ITGB3"	8
"M1"	"Semaphorin interactions"	"Semaphorin interactions"	"6/346"	"67/7644"	0.0816397581294471	0.634678887582681	0.611224908534273	"MET/SEMA7A/SEMA3A/PLXNA2/SEMA6A/DPYSL4"	6
"M1"	"PI-3K cascade"	"PI-3K cascade"	"8/346"	"100/7644"	0.0826235574456383	0.634678887582681	0.611224908534273	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/AGO4/FGFR3"	8
"M1"	"PI3K events in ERBB2 signaling"	"PI3K events in ERBB2 signaling"	"8/346"	"100/7644"	0.0826235574456383	0.634678887582681	0.611224908534273	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/AGO4/FGFR3"	8
"M1"	"PI3K events in ERBB4 signaling"	"PI3K events in ERBB4 signaling"	"8/346"	"100/7644"	0.0826235574456383	0.634678887582681	0.611224908534273	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/AGO4/FGFR3"	8
"M1"	"PI3K/AKT Signaling in Cancer"	"PI3K/AKT Signaling in Cancer"	"8/346"	"100/7644"	0.0826235574456383	0.634678887582681	0.611224908534273	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/AGO4/FGFR3"	8
"M1"	"PIP3 activates AKT signaling"	"PIP3 activates AKT signaling"	"8/346"	"100/7644"	0.0826235574456383	0.634678887582681	0.611224908534273	"PDGFRA/PDGFRB/EGFR/FGF5/AGO2/NR4A1/AGO4/FGFR3"	8
"M1"	"Incretin synthesis, secretion, and inactivation"	"Incretin synthesis, secretion, and inactivation"	"3/346"	"23/7644"	0.0833906734190836	0.634678887582681	0.611224908534273	"DPP4/PCSK1/LEP"	3
"M1"	"Platelet Aggregation (Plug Formation)"	"Platelet Aggregation (Plug Formation)"	"4/346"	"37/7644"	0.0844158711667271	0.634678887582681	0.611224908534273	"FN1/APBB1IP/ITGB3/ADRA2C"	4
"M1"	"Dermatan sulfate biosynthesis"	"Dermatan sulfate biosynthesis"	"2/346"	"11/7644"	0.0857888859310757	0.634678887582681	0.611224908534273	"DCN/BGN"	2
"M1"	"Dimerization of procaspase-8"	"Dimerization of procaspase-8"	"2/346"	"11/7644"	0.0857888859310757	0.634678887582681	0.611224908534273	"TNFRSF10A/TNFSF10"	2
"M1"	"Regulation by c-FLIP"	"Regulation by c-FLIP"	"2/346"	"11/7644"	0.0857888859310757	0.634678887582681	0.611224908534273	"TNFRSF10A/TNFSF10"	2
"M1"	"Cell junction organization"	"Cell junction organization"	"7/346"	"85/7644"	0.0894179148500943	0.638429068772175	0.614836505200527	"CLDN11/PVR/ARHGEF6/CDH24/CDH10/CDH4/CADM1"	7
